Player_Name,Player_Team,Batting_average,Game_Num,Plate_Appearance,Run,Hit,two_Base,three_Base,Home_Run,Runs_Batted_In,Four_Ball,Strike_Out,On_Base_Percentage,Onbase_Plus_Slug
최인호,한화,0.259,57,127,5,28,6,0,1,14,12,20,0.357,0.7
최재훈,한화,0.31,72,203,19,48,9,0,1,20,26,21,0.437,0.824
최정,SSG,0.198,48,207,29,34,6,0,11,33,26,59,0.329,0.753
최정용,KIA,0.167,4,6,0,1,0,0,0,0,0,2,0.167,0.334
최정원,NC,0.273,49,90,22,18,2,0,0,3,11,11,0.455,0.758
최주환,키움,0.255,85,360,30,83,25,1,6,44,25,52,0.311,0.704
최준우,SSG,0.211,65,171,17,28,0,0,3,22,28,39,0.351,0.629
최지훈,SSG,0.268,86,377,43,91,11,3,3,27,29,60,0.327,0.671
최형우,KIA,0.329,83,345,50,95,24,1,14,55,50,56,0.432,0.996
추재현,두산,0.233,27,78,7,17,3,1,1,7,3,14,0.273,0.615
카디네스,키움,0.238,53,222,21,45,8,1,5,25,25,43,0.342,0.712
케이브,두산,0.31,80,348,41,98,20,2,8,48,24,68,0.356,0.818
푸이그,키움,0.212,40,172,17,33,2,0,6,20,12,38,0.285,0.625
플로리얼,한화,0.271,65,285,36,70,18,2,8,29,24,65,0.333,0.783
하재훈,SSG,0.167,8,25,2,4,0,0,1,3,1,12,0.2,0.492
하주석,한화,0.279,48,151,20,38,7,0,2,12,7,36,0.329,0.704
한석현,NC,0.187,48,128,16,20,4,0,3,18,11,26,0.29,0.598
한승택,KIA,0.222,12,20,3,4,1,0,0,0,1,6,0.3,0.578
한승현,롯데,0.083,15,14,1,1,0,0,0,1,1,4,0.143,0.226
한유섬,SSG,0.267,82,327,35,78,18,0,11,42,30,78,0.344,0.786
한재환,NC,0.185,16,31,2,5,0,0,0,4,2,14,0.29,0.475
한준수,KIA,0.231,58,164,20,33,8,1,3,13,16,26,0.311,0.675
한태양,롯데,0.31,56,79,22,22,8,1,0,4,7,21,0.372,0.823
함창건,LG,0.188,15,36,2,6,2,0,0,2,3,9,0.25,0.5
허경민,KT,0.265,62,256,26,60,9,0,2,18,22,23,0.345,0.677
허인서,한화,1,3,1,0,1,1,0,0,1,0,0,1,3
현원회,SSG,0.15,7,23,1,3,1,0,0,3,3,8,0.261,0.461
홍종표,KIA,0.192,44,64,10,10,0,0,0,1,7,14,0.283,0.475
홍창기,LG,0.269,38,169,24,36,3,0,1,15,24,35,0.395,0.708
황대인,KIA,0.189,18,57,3,10,3,0,1,8,3,14,0.228,0.53
황성빈,롯데,0.314,30,131,19,38,3,2,0,12,7,16,0.362,0.734
황영묵,한화,0.239,78,210,27,45,11,0,1,11,18,28,0.311,0.625
황재균,KT,0.296,57,219,25,58,9,0,2,21,19,42,0.362,0.734
