키움,92,27,62,3,0.303,28.5
한화,90,55,33,2,0.625,0
LG,91,50,39,2,0.562,5.5
롯데,92,48,41,3,0.539,7.5
KIA,89,46,40,3,0.535,8
KT,92,45,44,3,0.506,10.5
삼성,89,44,44,1,0.500,11
SSG,89,43,43,3,0.500,11
NC,86,40,41,5,0.494,11.5
두산,90,38,49,3,0.437,16.5
키움,92,27,62,3,0.303,28.5
