Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Strike_Out,Runs,Earned_Run,WHIP
육선엽,삼성,3.72,17,0,1,0,1,19.333,13,1,10,13,11,8,1.19
김태훈,삼성,4.01,45,2,3,0,10,42.667,42,2,21,48,20,19,1.48
레예스,삼성,4.14,10,4,3,0,0,50.0,51,5,12,35,26,23,1.26
배찬승,삼성,4.19,43,0,1,0,11,34.333,38,2,24,37,18,16,1.81
이승민,삼성,4.41,32,1,0,0,2,34.667,38,4,10,34,23,17,1.38
송은범,삼성,4.5,5,0,0,0,0,6.0,9,0,3,2,3,3,2.0
김대호,삼성,4.6,7,0,1,0,0,15.667,14,2,12,14,9,8,1.66
이승현,삼성,4.72,16,4,7,0,0,74.333,80,6,30,56,40,39,1.48
최원태,삼성,4.77,16,5,5,0,0,83.0,83,7,41,80,46,44,1.49
양창섭,삼성,5.14,17,1,1,0,1,28.0,37,2,9,20,17,16,1.64
임창민,삼성,5.4,13,1,0,0,2,10.0,14,4,7,4,7,6,2.1
이호성,삼성,5.44,40,5,3,8,3,41.333,31,5,19,51,27,25,1.21
김재윤,삼성,6.75,37,3,4,5,3,32.0,35,7,6,24,26,24,1.28
황동재,삼성,7.45,14,0,1,0,0,19.333,27,1,14,22,16,16,2.12
오승환,삼성,8.31,11,0,0,0,0,8.667,15,1,3,6,8,8,2.08
정민성,삼성,36.0,1,0,1,0,0,1.0,3,0,0,0,4,4,3.0
소이현,NC,0.0,3,0,0,0,0,2.667,1,0,1,2,0,0,0.75
김영규,NC,1.54,13,0,1,0,7,11.667,12,1,3,5,5,2,1.29
라일리,NC,2.98,18,11,4,0,0,108.667,79,11,36,139,42,36,1.06
한재승,NC,3.0,18,0,1,0,0,18.0,19,1,19,18,9,6,2.11
손주환,NC,3.03,34,5,1,0,4,35.667,28,3,12,29,12,12,1.12
로건,NC,3.1,19,5,8,0,0,110.333,100,6,45,89,46,38,1.31
김진호,NC,3.26,42,2,0,0,10,38.667,23,3,24,37,14,14,1.22
임정호,NC,3.52,15,0,0,0,2,7.667,6,0,6,10,3,3,1.57
배재환,NC,3.58,36,1,2,2,12,32.667,22,1,20,29,16,13,1.29
