Player_Name,Player_Team,Batting_average,Game_Num,Plate_Appearance,At_Bat,Run,Hit,two_Base,three_Base,Home_Run,Total_Base,Runs_Batted_In,Sacrifice_Bunts,Sacrifice_Fly,Four_Ball,IBB,Hit_by_Pitch,Strike_Out,Double_out,Slugging,On_Base_Percentage,Onbase_Plus_Slug,Multi_Hit,Scoring_Position_AVG,Pinch_Hit_AVG
손아섭,NC,0.285,84,355,333,45,95,16,0,7,132,50,2,4,16,0,0,65,1,0.396,0.314,0.71,22,0.272,0.143
손호영,롯데,0.317,102,430,398,70,126,26,4,18,214,78,1,5,17,2,9,65,6,0.538,0.354,0.892,37,0.331,0.0
송민섭,KT,0.214,36,20,14,8,3,0,0,0,3,1,1,0,3,0,2,6,0,0.214,0.421,0.635,1,0.143,0.0
송성문,키움,0.34,142,602,527,88,179,29,4,19,273,104,0,8,64,2,3,82,5,0.518,0.409,0.927,47,0.372,0.333
송승환,NC,0.2,3,5,5,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0,0.0,0.5
송찬의,LG,0.067,10,21,15,2,1,0,0,0,1,1,1,1,3,0,1,6,0,0.067,0.25,0.317,0,0.0,0.0
신민재,LG,0.297,128,474,387,78,115,11,6,0,138,40,15,3,64,1,5,47,7,0.357,0.401,0.758,32,0.306,0.333
신범수,SSG,0.222,11,29,27,4,6,3,0,0,9,2,0,0,1,0,1,5,0,0.333,0.276,0.609,1,0.2,0.5
신본기,KT,0.279,84,152,122,18,34,3,0,3,46,19,9,2,16,0,3,28,3,0.377,0.371,0.748,5,0.233,0.5
신윤후,롯데,0.161,39,35,31,5,5,0,0,0,5,1,1,0,1,0,2,8,1,0.161,0.235,0.396,0,0.125,0.0
심우준,KT,0.266,53,192,169,22,45,4,0,3,58,28,5,0,17,0,1,29,3,0.343,0.337,0.68,12,0.412,1.0
안상현,SSG,0.171,37,75,70,3,12,1,0,0,13,2,1,0,4,0,0,14,0,0.186,0.216,0.402,1,0.2,0.0
안승한,두산,0.2,4,5,5,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0.2,0.2,0.4,0,0.0,0.5
안익훈,LG,0.184,37,56,49,8,9,1,0,0,10,3,2,1,4,0,0,13,2,0.204,0.241,0.445,0,0.071,0.111
안주형,삼성,0.218,82,166,142,24,31,2,0,0,33,8,12,0,11,0,1,39,3,0.232,0.279,0.511,4,0.231,0.0
안중열,NC,0.286,10,25,21,5,6,1,0,2,13,4,0,1,3,0,0,7,0,0.619,0.36,0.979,1,0.143,0.0
안치영,KT,0.25,31,48,44,12,11,0,0,0,11,3,2,0,2,0,0,12,0,0.25,0.283,0.533,2,0.182,0.0
안치홍,한화,0.3,128,533,473,64,142,21,0,13,202,66,1,4,49,1,6,70,10,0.427,0.37,0.797,44,0.317,1.0
안현민,KT,0.2,16,29,25,5,5,0,1,1,10,2,0,1,2,0,1,10,0,0.4,0.276,0.676,1,0.0,0.0
양도근,삼성,0.174,16,29,23,5,4,0,1,0,6,2,1,0,5,0,0,8,0,0.261,0.321,0.582,1,0.0,0.0
양석환,두산,0.246,142,593,533,83,131,25,1,34,260,107,1,3,49,1,7,128,15,0.488,0.316,0.804,34,0.286,0.667
