Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Winning_Percentage,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Hit_By_Pitch,Strike_Out,Runs,Earned_Run,WHIP,Complete_Game,Shutout,Quality_Start,Blown_Save,Total_Batters_Faced,Number_Of_Pitching,Opponent_Batting_Average,2Base,3Base,Sacrifice_Bunt,Sacrifice_Fly,IBB,Wild_Pitch,Balk
진우영,LG,4.7,6,0,0,0,0,,7.667,8,1,4,0,6,4,4,1.57,0,0,0,0,35,142,0.267,3,0,0,1,0,2,0
진해수,롯데,6.18,54,2,1,0,5,0.667,27.667,36,5,10,3,22,21,19,1.66,0,0,0,2,128,471,0.316,3,0,0,1,1,2,0
채원후,NC,12.0,3,0,0,0,0,,3.0,6,0,3,0,2,4,4,3.0,0,0,0,0,18,73,0.4,2,0,0,0,0,2,0
최동환,LG,6.95,26,0,1,0,2,0.0,22.0,35,4,9,0,14,18,17,2.0,0,0,0,0,105,392,0.372,6,0,0,2,0,0,0
최민준,SSG,7.78,32,1,0,0,0,1.0,39.333,61,9,24,3,40,36,34,2.16,0,0,0,0,202,782,0.353,9,1,2,0,1,1,0
최성영,NC,5.79,24,2,0,1,1,1.0,46.667,65,7,17,0,29,37,30,1.76,0,0,1,0,218,809,0.33,10,0,0,4,0,0,0
최성훈,삼성,6.92,28,0,1,0,3,0.0,13.0,14,1,9,1,10,10,10,1.77,0,0,0,1,61,270,0.292,1,0,0,3,1,2,0
최승용,두산,6.0,12,2,0,0,1,1.0,27.0,37,6,7,0,21,19,18,1.63,0,0,1,0,124,457,0.319,5,2,1,0,0,0,0
최우석,NC,3.12,9,0,0,0,0,,8.667,7,2,6,0,8,3,3,1.5,0,0,0,0,37,139,0.226,2,0,0,0,0,1,0
최원준,두산,6.46,24,6,7,0,0,0.462,110.0,125,21,34,10,72,79,79,1.45,0,0,3,0,490,1929,0.283,24,2,2,2,1,1,0
최원태,LG,4.26,24,9,7,0,0,0.563,126.667,126,10,57,5,103,66,60,1.44,0,0,10,0,554,2117,0.263,20,1,4,8,0,5,0
최이준,롯데,7.3,23,3,0,0,0,1.0,24.667,40,3,16,1,17,22,20,2.27,0,0,0,0,126,479,0.385,6,1,2,3,1,1,0
최종인,두산,3.72,11,1,0,1,2,1.0,9.667,8,2,5,0,8,4,4,1.34,0,0,0,0,42,167,0.222,0,0,0,1,0,0,0
최준용,롯데,5.4,27,1,2,0,3,0.333,21.667,28,2,14,1,12,13,13,1.94,0,0,0,4,105,431,0.322,2,1,2,1,1,1,0
최준호,두산,5.1,17,3,6,0,0,0.333,72.333,69,11,30,4,58,44,41,1.37,0,0,3,0,314,1227,0.246,8,2,0,0,0,6,0
최지강,두산,3.24,55,3,1,1,15,0.75,50.0,48,6,24,6,45,19,18,1.44,0,0,0,2,222,878,0.253,7,2,1,1,2,3,0
최지광,삼성,2.23,35,3,2,0,7,0.6,36.333,22,1,21,4,38,9,9,1.18,0,0,0,3,154,674,0.176,6,1,1,3,2,2,1
최지민,KIA,5.09,56,3,3,3,12,0.5,46.0,44,2,40,4,37,28,26,1.83,0,0,0,4,225,915,0.25,10,1,1,4,0,6,0
최채흥,삼성,6.3,14,0,0,0,1,,20.0,24,4,12,0,14,15,14,1.8,0,0,0,0,96,359,0.3,5,1,2,2,0,1,0
최하늘,삼성,5.34,27,1,1,0,1,0.5,32.0,26,2,16,4,18,20,19,1.31,0,0,0,1,139,579,0.234,4,0,3,5,0,2,0
최현석,SSG,54.0,2,0,0,0,0,,0.667,5,1,3,0,1,4,4,12.0,0,0,0,0,10,48,0.714,0,0,0,0,0,0,0
카스타노,NC,4.35,19,8,6,0,0,0.571,111.667,117,11,25,7,89,65,54,1.27,0,0,12,0,476,1783,0.269,23,4,4,5,0,0,1
켈리,LG,4.51,19,5,8,0,0,0.385,113.667,131,13,25,6,69,65,57,1.37,2,1,11,0,495,1813,0.29,18,1,5,8,0,9,0
코너,삼성,3.43,28,11,6,0,0,0.647,160.0,135,21,40,19,158,67,61,1.09,1,1,13,0,663,2604,0.226,17,3,2,4,0,9,0
쿠에바스,KT,4.1,31,7,12,0,0,0.368,173.333,158,17,59,7,154,86,79,1.25,0,0,19,0,737,2856,0.24,36,3,5,8,4,11,1
크로우,KIA,3.57,8,5,1,0,0,0.833,40.333,41,2,12,1,43,19,16,1.31,0,0,1,0,172,710,0.259,7,0,0,1,1,0,0
페냐,한화,6.27,9,3,5,0,0,0.375,37.333,41,6,20,0,29,28,26,1.63,0,0,2,0,171,702,0.275,6,0,0,2,0,1,0
하영민,키움,4.37,28,9,8,0,0,0.529,150.333,168,8,58,5,101,82,73,1.5,0,0,9,0,671,2539,0.28,33,6,2,7,0,7,0
하준호,KT,9.0,2,0,0,0,0,,2.0,5,0,1,0,0,2,2,3.0,0,0,0,0,11,40,0.5,0,0,0,0,0,0,0
하트,NC,2.69,26,13,3,0,0,0.813,157.0,124,11,38,11,182,51,47,1.03,0,0,17,0,631,2465,0.215,16,1,3,1,0,2,0
한두솔,SSG,5.01,69,2,1,0,3,0.667,59.333,62,3,31,3,68,40,33,1.57,0,0,0,0,273,1071,0.267,10,2,4,3,2,1,0
한승주,한화,11.45,18,0,2,0,0,0.0,22.0,45,2,10,3,14,31,28,2.5,0,0,0,0,120,457,0.433,6,1,2,1,0,1,0
한승혁,한화,5.03,70,5,5,0,19,0.5,62.667,63,2,38,6,64,39,35,1.61,0,0,0,5,289,1210,0.264,7,1,3,3,2,6,0
한재승,NC,3.97,51,1,2,0,6,0.333,45.333,37,2,27,3,44,21,20,1.41,0,0,0,3,201,815,0.222,7,1,1,3,0,6,0
한차현,KT,9.95,10,0,4,0,0,0.0,19.0,29,4,18,0,17,22,21,2.47,0,0,0,0,103,429,0.345,4,1,0,1,0,2,0
한현희,롯데,5.19,57,5,3,0,8,0.625,76.333,92,7,24,10,70,45,44,1.52,0,0,1,1,342,1321,0.305,18,1,2,4,1,4,0
함덕주,LG,5.4,15,0,1,0,3,0.0,11.667,13,2,7,1,8,7,7,1.71,0,0,0,0,54,205,0.302,0,1,3,0,0,0,0
헤이수스,키움,3.68,30,13,11,0,0,0.542,171.333,171,22,44,14,178,78,70,1.25,0,0,20,0,728,2832,0.258,31,2,3,3,1,6,1
현도훈,롯데,9.0,8,0,1,0,0,0.0,10.0,15,2,6,0,8,11,10,2.1,0,0,0,1,50,193,0.341,3,1,0,0,0,1,0
홍건희,두산,2.73,65,4,3,9,11,0.571,59.333,55,5,33,5,45,22,18,1.48,0,0,0,6,264,1034,0.253,6,1,6,3,4,5,0
홍민기,롯데,12.27,3,0,0,0,0,,3.667,8,0,1,2,2,7,5,2.45,0,0,0,0,24,99,0.381,3,0,0,0,0,3,0
홍원표,삼성,4.26,4,0,0,0,0,,6.333,4,1,6,0,5,3,3,1.58,0,0,0,0,28,112,0.2,1,0,0,2,0,0,0
홍정우,삼성,45.0,1,0,0,0,0,,1.0,5,1,1,0,1,5,5,6.0,0,0,0,0,9,28,0.714,1,0,0,1,0,0,0
황동재,삼성,4.07,15,1,2,0,0,0.333,42.0,38,2,18,4,30,20,19,1.33,0,0,0,1,180,707,0.248,9,1,2,3,0,5,0
황동하,KIA,4.44,25,5,7,0,0,0.417,103.333,109,13,44,8,81,64,51,1.48,0,0,2,0,464,1814,0.268,18,0,3,2,0,5,0
황준서,한화,5.38,36,2,8,0,1,0.2,72.0,80,9,51,5,70,44,43,1.82,0,0,1,0,341,1412,0.287,16,0,2,4,0,3,1
후라도,키움,3.36,30,10,8,0,0,0.556,190.333,185,19,32,9,169,78,71,1.14,0,0,23,0,779,2894,0.254,27,4,7,4,0,3,1
