Player_Name,Player_Team,Earned_Run_Average,Game_Num,Win,Lose,Save,Hold,Winning_Percentage,Innings_Pitched,Hits,Home_Run,Base_On_Balls,Hit_By_Pitch,Strike_Out,Runs,Earned_Run,WHIP,Complete_Game,Shutout,Quality_Start,Blown_Save,Total_Batters_Faced,Number_Of_Pitching,Opponent_Batting_Average,2Base,3Base,Sacrifice_Bunt,Sacrifice_Fly,IBB,Wild_Pitch,Balk
산체스,한화,4.22,11,2,3,0,0,0.4,53.333,60,2,21,10,56,28,25,1.52,0,0,2,0,245,960,0.283,9,1,1,1,1,2,1
서의태,NC,9.39,11,1,0,0,0,1.0,7.667,5,1,8,0,7,8,8,1.7,0,0,0,0,34,149,0.192,1,0,0,0,0,1,0
서진용,SSG,5.55,51,0,1,0,6,0.0,47.0,52,5,26,0,38,34,29,1.66,0,0,0,0,211,800,0.291,11,1,5,1,2,4,0
성동현,LG,0.0,2,0,0,0,0,,2.0,0,0,3,0,1,0,0,1.5,0,0,0,0,8,36,0.0,0,0,0,0,0,0,0
성재헌,KT,7.31,30,0,0,0,1,,32.0,46,1,16,5,20,29,26,1.94,0,0,0,0,159,564,0.351,13,2,3,4,2,2,1
소이현,NC,13.5,4,0,0,0,0,,3.333,6,0,1,1,1,7,5,2.1,0,0,0,0,19,64,0.353,3,0,0,0,0,0,0
소형준,KT,3.24,6,2,0,0,0,1.0,8.333,7,1,1,1,3,3,3,0.96,0,0,0,0,30,120,0.25,2,0,0,0,0,0,0
손동현,KT,5.32,42,1,2,1,4,0.333,47.333,50,5,20,1,27,31,28,1.48,0,0,0,4,214,767,0.267,6,1,3,3,2,3,0
손주영,LG,3.79,28,9,10,0,1,0.474,144.667,157,11,54,10,112,71,61,1.46,0,0,11,0,637,2532,0.279,16,0,6,5,0,6,0
손주환,NC,9.82,4,0,1,0,0,0.0,3.667,2,0,2,1,4,4,4,1.09,0,0,0,0,16,65,0.154,0,0,0,0,0,0,0
손현기,키움,7.53,6,0,1,0,0,0.0,14.333,17,2,8,3,9,14,12,1.74,0,0,0,0,69,269,0.298,3,1,0,1,0,3,0
송명기,NC,5.87,33,2,1,0,4,0.667,38.333,40,4,17,3,31,27,25,1.49,0,0,0,0,173,694,0.268,7,1,1,3,1,7,0
송영진,SSG,5.8,26,5,10,0,0,0.333,99.333,112,10,51,1,67,74,64,1.64,0,0,3,0,456,1815,0.283,19,2,5,3,0,8,2
송은범,삼성,1.08,9,0,0,0,2,,8.333,8,0,1,0,2,1,1,1.08,0,0,0,0,32,114,0.258,2,0,0,0,0,0,0
송재영,롯데,10.8,19,0,1,1,3,0.0,8.333,9,2,5,1,9,10,10,1.68,0,0,0,1,40,162,0.29,3,0,2,1,0,1,1
스타우트,KIA,5.06,4,1,1,0,0,0.5,16.0,17,2,5,3,20,10,9,1.38,0,0,0,0,73,327,0.262,3,1,0,0,0,1,0
시라카와,두산,5.65,12,4,5,0,0,0.444,57.333,59,6,33,3,46,41,36,1.6,0,0,2,0,264,1053,0.263,6,1,2,2,0,5,0
신민혁,NC,4.31,25,8,9,0,0,0.471,121.0,140,20,16,7,74,67,58,1.29,0,0,10,0,524,2003,0.284,24,3,2,6,0,2,1
신영우,NC,10.61,4,0,1,0,0,0.0,9.333,9,0,15,2,6,11,11,2.57,0,0,0,0,52,200,0.29,3,0,2,2,0,1,0
신헌민,SSG,18.0,3,0,0,0,0,,3.0,7,2,3,1,0,7,6,3.33,0,0,0,0,18,53,0.538,2,0,0,1,0,0,0
알드레드,KIA,4.53,9,3,2,0,0,0.6,43.667,38,4,17,2,52,24,22,1.26,1,1,3,0,184,748,0.235,4,0,2,1,0,1,0
알칸타라,두산,4.76,12,2,2,0,0,0.5,64.333,58,10,22,2,34,35,34,1.24,0,0,5,0,270,1043,0.238,8,3,2,0,0,0,0
앤더슨,SSG,3.89,24,11,3,0,0,0.786,115.667,98,11,53,8,158,55,50,1.31,0,0,9,0,496,2029,0.227,13,1,2,1,0,5,1
양지율,키움,6.27,21,0,2,0,3,0.0,18.667,16,1,13,2,7,13,13,1.55,0,0,0,1,83,345,0.235,4,0,0,0,0,0,0
양현,삼성,7.62,18,0,1,0,2,0.0,13.0,21,4,5,1,10,11,11,2.0,0,0,0,0,64,242,0.375,2,0,1,1,0,0,0
양현종,KIA,4.1,29,11,5,0,0,0.688,171.333,174,21,41,6,129,86,78,1.25,3,0,15,0,727,2620,0.257,37,6,2,1,0,2,0
엄상백,KT,4.88,29,13,10,0,0,0.565,156.667,164,26,42,7,159,88,85,1.31,0,0,9,0,675,2716,0.266,26,3,5,5,0,2,0
에르난데스,LG,4.02,11,3,2,1,1,0.6,47.0,41,5,16,2,55,21,21,1.21,0,0,2,0,195,792,0.233,6,1,0,1,0,1,0
엔스,LG,4.19,30,13,6,0,0,0.684,167.667,169,16,50,6,157,84,78,1.31,0,0,13,0,714,2906,0.263,29,3,9,6,0,4,0
엘리아스,SSG,4.08,22,7,7,0,0,0.5,123.667,126,13,30,6,104,59,56,1.26,0,0,10,0,525,1947,0.265,14,0,10,2,0,3,0
오석주,키움,11.12,17,1,1,0,0,0.5,17.0,28,0,11,3,16,21,21,2.29,0,0,0,0,92,343,0.368,4,1,1,1,1,2,0
오승환,삼성,4.91,58,3,9,27,2,0.25,55.0,75,9,18,3,42,36,30,1.69,0,0,0,8,262,1002,0.321,17,2,4,3,3,5,0
오원석,SSG,5.03,29,6,9,0,1,0.4,121.667,122,17,65,13,112,72,68,1.54,0,0,2,0,550,2208,0.261,14,1,2,2,1,3,0
와이스,한화,3.73,16,5,5,0,0,0.5,91.667,77,8,29,3,98,43,38,1.16,0,0,11,0,384,1463,0.223,13,5,3,3,0,6,0
요키시,NC,5.72,8,3,4,0,0,0.429,39.333,51,5,20,2,32,29,25,1.81,0,0,2,0,189,756,0.313,11,2,3,1,0,2,0
